LSOA code,Rank,Country
W01000751,1714,Wales
W01000752,297,Wales
W01000753,697,Wales
W01000754,766,Wales
W01000755,861,Wales
W01000756,229,Wales
W01000757,775,Wales
W01000758,1163,Wales
W01000759,1539,Wales
W01000760,624,Wales
W01000761,724,Wales
W01000762,207,Wales
W01000763,649,Wales
W01000764,732,Wales
W01000765,719,Wales
W01000766,1057,Wales
W01000767,417,Wales
W01000768,1501,Wales
W01000769,1797,Wales
W01000770,1808,Wales
W01000771,1516,Wales
W01000772,1718,Wales
W01000773,762,Wales
W01000774,1030,Wales
W01000775,1513,Wales
W01000776,1611,Wales
W01000777,1722,Wales
W01000778,1525,Wales
W01000779,1147,Wales
W01000781,1897,Wales
W01000782,1757,Wales
W01000784,1469,Wales
W01000785,1851,Wales
W01000786,1636,Wales
W01000787,490,Wales
W01000788,230,Wales
W01000789,276,Wales
W01000790,363,Wales
W01000791,1749,Wales
W01000792,1806,Wales
W01000793,1765,Wales
W01000794,1118,Wales
W01000795,1547,Wales
W01000796,1533,Wales
W01000797,1431,Wales
W01000798,1091,Wales
W01000799,386,Wales
W01000800,1664,Wales
W01000801,179,Wales
W01000802,966,Wales
W01000803,1029,Wales
W01000804,1858,Wales
W01000805,1906,Wales
W01000806,1088,Wales
W01000807,1618,Wales
W01000808,1271,Wales
W01000809,686,Wales
W01000810,95,Wales
W01000811,309,Wales
W01000812,154,Wales
W01000813,1250,Wales
W01000814,205,Wales
W01000815,1570,Wales
W01000816,1677,Wales
W01000817,37,Wales
W01000818,467,Wales
W01000819,1589,Wales
W01000820,1021,Wales
W01000821,859,Wales
W01000822,1230,Wales
W01000823,1905,Wales
W01000824,1801,Wales
W01000825,1719,Wales
W01000826,1760,Wales
W01000827,1826,Wales
W01000828,1667,Wales
W01000829,1255,Wales
W01000830,31,Wales
W01000831,147,Wales
W01000832,22,Wales
W01000833,48,Wales
W01000834,201,Wales
W01000835,157,Wales
W01000836,279,Wales
W01000837,1845,Wales
W01000838,419,Wales
W01000839,1781,Wales
W01000840,1898,Wales
W01000841,842,Wales
W01000842,1388,Wales
W01000843,1405,Wales
W01000844,305,Wales
W01000845,1653,Wales
W01000846,820,Wales
W01000847,964,Wales
W01000848,374,Wales
W01000849,269,Wales
W01000850,484,Wales
W01000851,811,Wales
W01000852,749,Wales
W01000853,1751,Wales
W01000854,1838,Wales
W01000855,1788,Wales
W01000856,382,Wales
W01000857,905,Wales
W01000858,1784,Wales
W01000859,1729,Wales
W01000860,1881,Wales
W01000861,1754,Wales
W01000862,18,Wales
W01000863,16,Wales
W01000864,32,Wales
W01000865,362,Wales
W01000866,41,Wales
W01000867,58,Wales
W01000868,1783,Wales
W01000869,868,Wales
W01000870,1541,Wales
W01000871,774,Wales
W01000872,1790,Wales
W01000873,1298,Wales
W01000874,1593,Wales
W01000875,1072,Wales
W01000876,1346,Wales
W01000877,1530,Wales
W01000878,1330,Wales
W01000879,1893,Wales
W01000880,1750,Wales
W01000881,461,Wales
W01000882,591,Wales
W01000883,1407,Wales
W01000884,122,Wales
W01000885,129,Wales
W01000886,44,Wales
W01000887,735,Wales
W01000888,1227,Wales
W01000889,1133,Wales
W01000890,1802,Wales
W01000891,783,Wales
W01000892,1456,Wales
W01000893,559,Wales
W01000894,708,Wales
W01000895,233,Wales
W01000896,25,Wales
W01000897,263,Wales
W01000898,909,Wales
W01000899,1568,Wales
W01000900,244,Wales
W01000901,628,Wales
W01000902,1350,Wales
W01000903,1766,Wales
W01000904,1853,Wales
W01000905,1336,Wales
W01000906,1475,Wales
W01000907,446,Wales
W01000908,1567,Wales
W01000909,809,Wales
W01000910,1549,Wales
W01000911,1630,Wales
W01000912,621,Wales
W01000913,692,Wales
W01000914,212,Wales
W01000915,930,Wales
W01000916,1099,Wales
W01000917,1305,Wales
W01000918,1206,Wales
W01000919,807,Wales
W01000920,398,Wales
W01000921,38,Wales
W01000922,422,Wales
W01000923,1182,Wales
W01000924,338,Wales
W01000925,331,Wales
W01000926,978,Wales
W01000927,773,Wales
W01000928,662,Wales
W01000929,411,Wales
W01000930,210,Wales
W01000931,617,Wales
W01000932,500,Wales
W01000933,1487,Wales
W01000934,82,Wales
W01000935,109,Wales
W01000936,221,Wales
W01000937,278,Wales
W01000938,1416,Wales
W01000939,49,Wales
W01000940,261,Wales
W01000941,328,Wales
W01000942,199,Wales
W01000943,1711,Wales
W01000944,508,Wales
W01000945,593,Wales
W01000946,744,Wales
W01000947,589,Wales
W01000948,761,Wales
W01000949,979,Wales
W01000950,609,Wales
W01000951,281,Wales
W01000952,607,Wales
W01000953,571,Wales
W01000954,1023,Wales
W01000955,1333,Wales
W01000956,1646,Wales
W01000957,132,Wales
W01000958,76,Wales
W01000959,1092,Wales
W01000960,348,Wales
W01000961,307,Wales
W01000962,55,Wales
W01000963,124,Wales
W01000964,115,Wales
W01000965,522,Wales
W01000966,523,Wales
W01000967,182,Wales
W01000968,751,Wales
W01000969,1672,Wales
W01000970,722,Wales
W01000971,872,Wales
W01000973,372,Wales
W01000974,1174,Wales
W01000975,143,Wales
W01000976,346,Wales
W01000977,392,Wales
W01000978,527,Wales
W01000979,1332,Wales
W01000980,934,Wales
W01000981,60,Wales
W01000982,1302,Wales
W01000983,1639,Wales
W01000984,1507,Wales
W01000985,1785,Wales
W01000986,1135,Wales
W01000987,581,Wales
W01000989,1683,Wales
W01000990,408,Wales
W01000991,5,Wales
W01000992,46,Wales
W01000993,194,Wales
W01000994,232,Wales
W01000995,632,Wales
W01000996,816,Wales
W01000997,1216,Wales
W01000998,1412,Wales
W01000999,518,Wales
W01001000,1335,Wales
W01001001,723,Wales
W01001002,272,Wales
W01001003,1459,Wales
W01001004,555,Wales
W01001005,1504,Wales
W01001006,1709,Wales
W01001007,822,Wales
W01001008,1728,Wales
W01001009,606,Wales
W01001010,489,Wales
W01001011,1428,Wales
W01001012,1367,Wales
W01001013,721,Wales
W01001014,380,Wales
W01001015,322,Wales
W01001016,988,Wales
W01001017,1150,Wales
W01001018,334,Wales
W01001019,287,Wales
W01001020,427,Wales
W01001021,397,Wales
W01001022,118,Wales
W01001023,299,Wales
W01001024,336,Wales
W01001025,655,Wales
W01001026,517,Wales
W01001027,1354,Wales
W01001028,1226,Wales
W01001029,1603,Wales
W01001030,1433,Wales
W01001031,1767,Wales
W01001032,1669,Wales
W01001033,912,Wales
W01001034,401,Wales
W01001035,326,Wales
W01001036,1734,Wales
W01001037,1635,Wales
W01001038,924,Wales
W01001039,1439,Wales
W01001040,1312,Wales
W01001041,1721,Wales
W01001042,526,Wales
W01001043,406,Wales
W01001044,671,Wales
W01001045,510,Wales
W01001046,524,Wales
W01001047,1364,Wales
W01001048,1529,Wales
W01001049,267,Wales
W01001050,479,Wales
W01001051,771,Wales
W01001052,466,Wales
W01001053,1706,Wales
W01001054,1779,Wales
W01001055,188,Wales
W01001056,949,Wales
W01001057,431,Wales
W01001058,1381,Wales
W01001059,1642,Wales
W01001060,1844,Wales
W01001061,801,Wales
W01001062,1419,Wales
W01001063,690,Wales
W01001064,186,Wales
W01001065,814,Wales
W01001066,733,Wales
W01001067,195,Wales
W01001068,925,Wales
W01001069,265,Wales
W01001070,266,Wales
W01001071,548,Wales
W01001072,1770,Wales
W01001073,216,Wales
W01001075,1759,Wales
W01001076,1189,Wales
W01001077,1202,Wales
W01001078,1671,Wales
W01001079,388,Wales
W01001080,442,Wales
W01001081,142,Wales
W01001082,1768,Wales
W01001083,1726,Wales
W01001084,1786,Wales
W01001085,1708,Wales
W01001086,1832,Wales
W01001087,1735,Wales
W01001088,874,Wales
W01001089,1724,Wales
W01001090,1695,Wales
W01001091,1740,Wales
W01001092,878,Wales
W01001093,476,Wales
W01001094,291,Wales
W01001095,105,Wales
W01001096,785,Wales
W01001097,253,Wales
W01001098,1799,Wales
W01001099,699,Wales
W01001100,1795,Wales
W01001101,803,Wales
W01001102,1151,Wales
W01001103,1863,Wales
W01001104,1543,Wales
W01001105,1575,Wales
W01001106,1822,Wales
W01001107,1655,Wales
W01001108,1429,Wales
W01001109,1363,Wales
W01001110,1686,Wales
W01001111,815,Wales
W01001112,1873,Wales
W01001113,1600,Wales
W01001114,1899,Wales
W01001115,1715,Wales
W01001116,1857,Wales
W01001117,1553,Wales
W01001118,1493,Wales
W01001119,1503,Wales
W01001120,1787,Wales
W01001121,863,Wales
W01001122,1569,Wales
W01001123,1684,Wales
W01001124,1420,Wales
W01001125,1643,Wales
W01001126,1571,Wales
W01001127,1650,Wales
W01001128,1705,Wales
W01001129,993,Wales
W01001130,1843,Wales
W01001131,850,Wales
W01001132,1835,Wales
W01001133,1868,Wales
W01001134,1727,Wales
W01001135,1644,Wales
W01001136,1692,Wales
W01001137,444,Wales
W01001138,243,Wales
W01001139,841,Wales
W01001140,413,Wales
W01001141,288,Wales
W01001142,245,Wales
W01001143,992,Wales
W01001144,33,Wales
W01001145,506,Wales
W01001146,1069,Wales
W01001147,923,Wales
W01001148,586,Wales
W01001149,736,Wales
W01001150,273,Wales
W01001151,1366,Wales
W01001152,1166,Wales
W01001153,432,Wales
W01001154,451,Wales
W01001155,576,Wales
W01001156,1886,Wales
W01001157,1460,Wales
W01001158,658,Wales
W01001159,1753,Wales
W01001160,1602,Wales
W01001161,1371,Wales
W01001162,501,Wales
W01001164,813,Wales
W01001165,737,Wales
W01001166,191,Wales
W01001167,551,Wales
W01001168,695,Wales
W01001169,220,Wales
W01001170,1537,Wales
W01001171,742,Wales
W01001172,853,Wales
W01001173,96,Wales
W01001174,83,Wales
W01001175,680,Wales
W01001176,652,Wales
W01001177,471,Wales
W01001178,823,Wales
W01001179,175,Wales
W01001180,51,Wales
W01001181,463,Wales
W01001182,642,Wales
W01001183,268,Wales
W01001184,1130,Wales
W01001185,390,Wales
W01001186,996,Wales
W01001187,691,Wales
W01001188,176,Wales
W01001189,657,Wales
W01001190,1609,Wales
W01001191,1649,Wales
W01001192,257,Wales
W01001193,1744,Wales
W01001194,1812,Wales
W01001195,1139,Wales
W01001196,1736,Wales
W01001197,1879,Wales
W01001198,1712,Wales
W01001199,1670,Wales
W01001200,534,Wales
W01001201,159,Wales
